,Airline,Source,Destination,Duration,Total stops,Price,Date,Year,Month,Day
0,Aeroflot,NYC,SVO,9h 00m ,nonstop ,341.87,2022-02-01,2022,2,1
1,Aeroflot,NYC,SVO,9h 00m ,nonstop ,320.8,2022-02-01,2022,2,1
2,Aeroflot,NYC,SVO,9h 00m ,nonstop ,320.8,2022-02-01,2022,2,1
3,Delta,NYC,SVO,11h 30m ,1 stop ,372.53,2022-02-01,2022,2,1
4,Delta,NYC,SVO,12h 35m ,1 stop ,377.07,2022-02-01,2022,2,1
5,Delta,NYC,SVO,13h 30m ,1 stop ,372.53,2022-02-01,2022,2,1
6,Delta,NYC,SVO,14h 25m ,1 stop ,372.53,2022-02-01,2022,2,1
7,Delta,NYC,SVO,13h 35m ,1 stop ,377.07,2022-02-01,2022,2,1
8,Delta,NYC,SVO,14h 35m ,1 stop ,377.07,2022-02-01,2022,2,1
9,Delta,NYC,SVO,17h 20m ,1 stop ,377.07,2022-02-01,2022,2,1
10,"Finnair, Aeroflot",NYC,SVO,15h 15m ,1 stop ,478.93,2022-02-01,2022,2,1
11,"American Airlines, Finnair",NYC,SVO,12h 20m ,1 stop ,516.0,2022-02-01,2022,2,1
12,LOT,NYC,SVO,13h 35m ,1 stop ,603.2,2022-02-01,2022,2,1
13,KLM,NYC,SVO,11h 30m ,1 stop ,628.8,2022-02-01,2022,2,1
14,Delta,NYC,SVO,15h 00m ,2 stops ,377.07,2022-02-01,2022,2,1
15,Delta,NYC,SVO,17h 00m ,2 stops ,377.07,2022-02-01,2022,2,1
16,Delta,NYC,SVO,17h 00m ,2 stops ,377.07,2022-02-01,2022,2,1
17,Delta,NYC,SVO,17h 00m ,2 stops ,377.07,2022-02-01,2022,2,1
18,Delta,NYC,SVO,17h 20m ,2 stops ,377.07,2022-02-01,2022,2,1
19,Delta,NYC,SVO,17h 50m ,2 stops ,377.07,2022-02-01,2022,2,1
20,Delta,NYC,SVO,18h 01m ,2 stops ,377.07,2022-02-01,2022,2,1
21,Delta,NYC,SVO,18h 01m ,2 stops ,377.07,2022-02-01,2022,2,1
22,Delta,NYC,SVO,18h 15m ,2 stops ,377.07,2022-02-01,2022,2,1
23,Delta,NYC,SVO,18h 40m ,2 stops ,377.07,2022-02-01,2022,2,1
24,Delta,NYC,SVO,18h 40m ,2 stops ,377.07,2022-02-01,2022,2,1
25,Delta,NYC,SVO,19h 00m ,2 stops ,377.07,2022-02-01,2022,2,1
26,Delta,NYC,SVO,19h 00m ,2 stops ,377.07,2022-02-01,2022,2,1
27,Delta,NYC,SVO,19h 15m ,2 stops ,377.07,2022-02-01,2022,2,1
