,Airline,Source,Destination,Duration,Total stops,Price,Date,Year,Month,Day
0,Air France,NYC,PAR,7h 20m ,nonstop ,274.93,2022-02-01,2022,2,1
1,Air France,NYC,PAR,7h 20m ,nonstop ,274.93,2022-02-01,2022,2,1
2,Air France,NYC,PAR,7h 20m ,nonstop ,274.93,2022-02-01,2022,2,1
3,Air France,NYC,PAR,7h 10m ,nonstop ,330.13,2022-02-01,2022,2,1
4,Air France,NYC,PAR,7h 20m ,nonstop ,330.13,2022-02-01,2022,2,1
5,Air France,NYC,PAR,7h 30m ,nonstop ,330.13,2022-02-01,2022,2,1
6,Air France,NYC,PAR,7h 30m ,nonstop ,330.13,2022-02-01,2022,2,1
7,Lufthansa,NYC,PAR,7h 05m ,nonstop ,360.8,2022-02-01,2022,2,1
8,American Airlines,NYC,PAR,7h 20m ,nonstop ,360.8,2022-02-01,2022,2,1
9,United Airlines,NYC,PAR,7h 05m ,nonstop ,362.13,2022-02-01,2022,2,1
10,JetBlue,NYC,PAR,7h 20m ,nonstop ,435.73,2022-02-01,2022,2,1
11,TAP AIR PORTUGAL,NYC,PAR,10h 55m ,1 stop ,273.87,2022-02-01,2022,2,1
12,"Finnair, Iberia",NYC,PAR,10h 55m ,1 stop ,288.0,2022-02-01,2022,2,1
13,"Finnair, Air France",NYC,PAR,10h 15m ,1 stop ,318.13,2022-02-01,2022,2,1
14,SAS,NYC,PAR,11h 00m ,1 stop ,350.67,2022-02-01,2022,2,1
15,"TAP AIR PORTUGAL, Vueling",NYC,PAR,16h 35m ,1 stop ,268.53,2022-02-01,2022,2,1
16,"Finnair, Air Europa",NYC,PAR,16h 20m ,1 stop ,277.07,2022-02-01,2022,2,1
17,"TAP AIR PORTUGAL, Transavia France",NYC,PAR,12h 50m ,1 stop ,283.47,2022-02-01,2022,2,1
18,"Finnair, Iberia",NYC,PAR,10h 55m ,1 stop ,288.0,2022-02-01,2022,2,1
19,"Finnair, Iberia",NYC,PAR,13h 40m ,1 stop ,288.0,2022-02-01,2022,2,1
20,"Finnair, Air France",NYC,PAR,10h 15m ,1 stop ,318.13,2022-02-01,2022,2,1
21,"Finnair, Air France",NYC,PAR,11h 35m ,1 stop ,335.2,2022-02-01,2022,2,1
